Model,C,epsilon,sigma,gamma,sym_type,mtry,cv_MAPE_pct,cv_SE
SVR-MAPE,216.44388248568197,1.1446104706162588,1.9826115083289704,0.12720223988279122,NA,NA,3.177559254008632,0.2085912999568358
SVR-MAPE + Sym. Kernel,1005.3426579806119,1.5009011878519785,3.175872616428478,0.04957284627132644,odd,NA,3.1339179256492797,0.2110605892719222
LS-RMSPE,705447.8807387684,NA,2.087470556600435,0.11474381553638206,NA,NA,3.595878120924093,0.14470244631470663
LS-RMSPE + Sym. Kernel,3170928.6272907467,NA,2.9517348265234613,0.05738723832891614,odd,NA,3.1741354390914704,0.17828137670394215
ε-SVR (MSE),10,NA,0.224,9.964923469387754,NA,NA,3.3826444807228198,0.18106952550271976
Random Forest,NA,NA,NA,NA,NA,4,4.652834937630253,0.10306330903154017
