dataset,seed,cell_id,family,sym,augmented,cost_selected,sigma_selected,eps_selected,cv_mape_min,n_failed_lhs,elapsed_sec,MAPE,RMSPE,MAAPE,MASE,MSE,R2
boston_ablation,1,A1,A,FALSE,FALSE,73.18433971148863,5.54910272138126,7.07208660005336,NA,NA,489.31,12.367749426807423,20.34963468994923,7.483889240547525,0.292917699050975,28.64425931142138,0.674511675425057
boston_ablation,1,A2,A,FALSE,TRUE,6.4026864007820485,2.470271065048374,7.5673376005483375,13.572412663164176,0,1098.51,12.660815886254998,18.36979258587157,7.816621632602042,0.31925329514780365,30.150663328283343,0.6573942169405969
boston_ablation,1,A3,A,TRUE,FALSE,315.6295389195483,3.1644870688083393,5.443292534683516,NA,NA,675.7799999999997,14.49509834929255,23.28632627914737,8.696288306171267,0.3176709495742874,27.928364058723364,0.6826464833053543
boston_ablation,1,A4,A,TRUE,TRUE,6.4026864007820485,2.470271065048374,7.5673376005483375,13.57304912738404,0,1500.5500000000002,12.664000599192201,18.37154688816887,7.81861989769584,0.31929520468298667,30.15161829211999,0.6573833655663008
boston_ablation,1,B1,B,FALSE,FALSE,521770.48106263124,16.702928402940255,NA,NA,NA,375.72999999999956,12.93969457624451,20.934294354934668,7.8301494356671535,0.29784036213905674,27.983340965700016,0.6820217737903485
boston_ablation,1,B2,B,FALSE,TRUE,183672.2324385205,3.8664319188216565,NA,13.758870557965427,0,797.4499999999998,14.810042768236173,24.14122840506679,8.834699166503958,0.3232784812426093,29.073295451937856,0.6696364837491064
boston_ablation,1,B3,B,TRUE,FALSE,233496.56231933812,3.2063594128422443,NA,NA,NA,542.6400000000003,14.490259344108406,23.70230286146537,8.658432975763601,0.3116961018766794,26.979551373962764,0.6934279612881011
boston_ablation,1,B4,B,TRUE,TRUE,183672.2324385205,3.8664319188216565,NA,13.758870557965656,0,1404.0599999999995,14.81004276823567,24.14122840507123,8.834699166503238,0.3232784812425672,29.073295451935387,0.6696364837491345
boston_ablation,2,A1,A,FALSE,FALSE,7.153312248481075,3.9800578599215544,2.5337357348839364,NA,NA,307.47000000000025,12.305177032520078,18.04387810739517,7.590948991254883,0.2883615711438483,24.05685564837044,0.7454103284582565
boston_ablation,2,A2,A,FALSE,TRUE,46.948822378413915,3.2951288309733813,8.952605599547264,11.844307379449184,0,698.3599999999997,13.498280695673179,20.058168933418916,8.261841373088027,0.3228578414033042,28.346258855834098,0.7000162931919625
boston_ablation,2,A3,A,TRUE,FALSE,28.596907672354497,2.950147438371588,2.9911898026700783,NA,NA,427.16000000000076,13.2266005888243,19.984983887345127,8.094704842374314,0.3179532681054475,30.768984236497605,0.6743769965226677
boston_ablation,2,A4,A,TRUE,TRUE,46.948822378413915,3.2951288309733813,8.952605599547264,11.844246832811473,0,1101.92,13.49777687060685,20.057323689443525,8.261553802441265,0.322815628413912,28.324254828031858,0.7002491581304502
boston_ablation,2,B1,B,FALSE,FALSE,13111.9193502155,3.6539361662937764,NA,NA,NA,246.26999999999862,11.918811491962956,17.99818517183935,7.3324594201104585,0.28005561697494813,23.199516635935414,0.7544834035419714
boston_ablation,2,B2,B,FALSE,TRUE,24438.439835507557,2.5054855164580085,NA,12.146434616907927,0,579.0699999999997,12.63747315828089,19.9650070851444,7.701690403050693,0.29231312101195495,27.181437885929952,0.712343398299438
boston_ablation,2,B3,B,TRUE,FALSE,25857.566485671625,2.883198525159061,NA,NA,NA,396.8200000000015,13.007820379508239,19.345324045748228,7.987320716489859,0.31286762495587844,29.036638176451063,0.6927101245453134
boston_ablation,2,B4,B,TRUE,TRUE,24438.439835507557,2.5054855164580085,NA,12.14643461690775,0,1035.17,12.63747315828071,19.965007085144222,7.701690403050582,0.2923131210119467,27.181437885928908,0.7123433982994491
boston_ablation,3,A1,A,FALSE,FALSE,9.797176418669908,4.563284242662677,5.48291443801513,NA,NA,303.53000000000003,11.088448109805258,17.30638874693619,6.818313494586747,0.3432154921172298,30.908408421583506,0.7598956034207032
boston_ablation,3,A2,A,FALSE,TRUE,47.28898489351652,2.7462598461706076,9.89186102437952,13.530299943963719,0,891.81,11.599496424344927,16.952433961665246,7.173157634946198,0.34388760865037105,25.50013843445592,0.8019084234949456
boston_ablation,3,A3,A,TRUE,FALSE,47.18262094284081,3.301465994724618,3.0747325425961916,NA,NA,610.3500000000001,11.369816825304977,18.488205955327285,6.941421578013476,0.3461599963367658,32.746304079284606,0.7456183613884062
boston_ablation,3,A4,A,TRUE,TRUE,47.28898489351652,2.7462598461706076,9.89186102437952,13.53097351008393,0,1448.06,11.595634403210758,16.950895578269193,7.17068248829981,0.34387267801982363,25.50551735104096,0.8018666386995823
boston_ablation,3,B1,B,FALSE,FALSE,9542.458068498,4.865579863347416,NA,NA,NA,370.73,11.506587001225546,18.183972293966793,7.035307732655459,0.34638009691933375,30.01195661074313,0.76685946963368945
boston_ablation,3,B2,B,FALSE,TRUE,2217.3148909896327,2.7462598461706076,NA,13.730752769364967,0,790.4700000000003,12.533590149508772,17.53870535419459,7.7731295887728935,0.4273769305897438,41.711465802863714,0.6759746994917744
boston_ablation,3,B3,B,TRUE,FALSE,58388.8758091561,3.182119951819685,NA,NA,NA,335.8800000000001,11.199501845036384,17.903937947296004,6.855604647719038,0.3277307247594735,26.71356458956556,0.7924822197644849
boston_ablation,3,B4,B,TRUE,TRUE,2217.3148909896327,2.7462598461706076,NA,13.730752769364996,0,1464.71,12.5335901495084,17.53870535419421,7.773129588772668,0.4273769305897339,41.71146580286221,0.675974699491786
boston_ablation,4,A1,A,FALSE,FALSE,14.937352751036038,5.429817674997472,5.312318007440666,NA,NA,422.66,10.848573903362967,14.879301743538068,6.780215887657412,0.2604843580576061,19.814842276625907,0.7649238342693024
boston_ablation,4,A2,A,FALSE,TRUE,56.2632196912859,4.3121877788847245,4.640525772820544,13.580758755172294,0,917.22,11.974352362040614,16.68001933108053,7.43928242804316,0.29171249152745843,24.927554708885623,0.7042684518907585
boston_ablation,4,A3,A,TRUE,FALSE,40.33130445277625,2.774433780655385,4.049880898106756,NA,NA,624.31,10.918499036283318,15.409463877429246,6.802214216057583,0.2641807393140096,20.493224702837786,0.7568757490296287
boston_ablation,4,A4,A,TRUE,TRUE,56.2632196912859,4.3121877788847245,4.640525772820544,13.57742988493187,0,1473.28,11.971547358981335,16.67235733225908,7.437823528748182,0.29172484125611814,24.932931263580326,0.7042046663786243
boston_ablation,4,B1,B,FALSE,FALSE,13475.682059883316,3.4732039350458943,NA,NA,NA,364.6600000000003,10.309156809776635,14.044361811003839,6.45881483927218,0.23434810081176682,12.984200368085542,0.8459601143931788
boston_ablation,4,B2,B,FALSE,TRUE,24081.967781250005,2.728768851131078,NA,13.441977042716482,0,788.8699999999994,10.707270880825456,14.609921031239487,6.697274981769604,0.24195238377389547,13.725614520400834,0.837164243413658
boston_ablation,4,B3,B,TRUE,FALSE,81646.45052162155,3.2316871425785347,NA,NA,NA,496.02999999999975,10.92674406711275,14.884180978993752,6.831475087176721,0.24806867863012583,14.315425803609193,0.8301669343750249
