dataset,seed,model_id,label,abbrev,family,MAPE,RMSPE,MAAPE,MASE,MSE,R2,cost_selected,epsilon_selected,sigma_selected,gamma_selected,sym_type_selected,mtry_selected,xgb_trees_selected,xgb_lr_selected,xgb_depth_selected
boston,1,m1,SVR-MAPE,SVR-MAPE,psvr,13.528311528030354,20.395054371505196,8.264180814874033,0.31115942370912647,28.490021913505352,0.6762642943944875,10,1,7.071,0.010000191803678796,NA,NA,NA,NA,NA
boston,1,m2,SVR-MAPE + Sym. Kernel,SVR-MAPE+SK,psvr,11.772947116622758,17.228276519502803,7.284644828772119,0.2934049869944944,25.820249681408683,0.7066012523648184,10,1,2.236,0.10000608036968646,odd,NA,NA,NA,NA
boston,1,m3a,LS-RMSPE (MAPE opt.),LS-RMSPE-M,psvr,15.720399529376378,23.12512623214216,9.550124049094169,0.42004822057589286,53.280181992582264,0.3945705845883467,100,NA,2.236,0.10000608036968646,NA,NA,NA,NA,NA
boston,1,m3b,LS-RMSPE (RMSPE opt.),LS-RMSPE-R,psvr,15.720399529376378,23.12512623214216,9.550124049094169,0.42004822057589286,53.280181992582264,0.3945705845883467,100,NA,2.236,0.10000608036968646,NA,NA,NA,NA,NA
boston,1,m4a,LS-RMSPE + Sym. Kernel (MAPE opt.),LS-RMSPE+SK-M,psvr,17.233311158113203,24.043983552208076,10.484323078639449,0.45952101583890836,56.009381170072366,0.36355835075626564,100,NA,7.071,0.010000191803678796,odd,NA,NA,NA,NA
boston,1,m4b,LS-RMSPE + Sym. Kernel (RMSPE opt.),LS-RMSPE+SK-R,psvr,17.233311158113203,24.043983552208076,10.484323078639449,0.45952101583890836,56.009381170072366,0.36355835075626564,100,NA,7.071,0.010000191803678796,odd,NA,NA,NA,NA
boston,1,b1,ε-SVR (MSE),SVR-MSE,baseline,13.874277792298336,20.973954632572443,8.460342607336099,0.29601912683692644,21.513972805643476,0.7555340186203507,10,NA,0.266,7.0665385267680465,NA,NA,NA,NA,NA
boston,1,b2,Random Forest,RF,baseline,13.023410540144045,20.430043393315295,7.9174992513193905,0.285336881547376,23.80296670325563,0.7295238928008649,NA,NA,NA,NA,NA,6,NA,NA,NA
boston,1,b3,XGBoost,XGB,baseline,12.820988658325557,20.382220804968362,7.785346411351216,0.28277856463931056,23.703131379041668,0.7306583341581543,NA,NA,NA,NA,NA,NA,300,0.1,3
boston,1,b4,Linear Regression,LR,baseline,18.260914357714622,24.692327235412375,11.126094355962355,0.41963221891217867,34.4465096315578,0.6085799745933793,NA,NA,NA,NA,NA,NA,NA,NA,NA
boston,1,b5,WLS (1/y²),WLS,baseline,16.691634934756266,22.232610737420494,10.248783518893962,0.4361200443453925,44.80489885385333,0.49087629384518205,NA,NA,NA,NA,NA,NA,NA,NA,NA
boston,1,b6,Log-SVR,Log-SVR,baseline,12.393376855226016,18.759094128107904,7.613547824354393,0.29214747737280355,24.751694044289,0.7187433845896345,1,0.01,NA,0.224,NA,NA,NA,NA,NA
boston,1,b7a,QR (τ = 0.5),QR,baseline,17.74192472446145,25.101166883428156,10.73666312955709,0.41112678991046864,38.70305848396817,0.5602122741274775,NA,NA,NA,NA,NA,NA,NA,NA,NA
boston,2,m1,SVR-MAPE,SVR-MAPE,psvr,12.788696400818264,19.20759503211087,7.84490393463953,0.3015410469380322,27.426507074885116,0.7097498721448543,10,1,7.071,0.010000191803678796,NA,NA,NA,NA,NA
boston,2,m2,SVR-MAPE + Sym. Kernel,SVR-MAPE+SK,psvr,12.480630017797077,20.1012576409999,7.578750048508477,0.28523893308449366,23.815511947660465,0.747964428395111,10,1,2.236,0.10000608036968646,odd,NA,NA,NA,NA
boston,2,m3a,LS-RMSPE (MAPE opt.),LS-RMSPE-M,psvr,15.087290654783397,21.520975650572318,9.247152920271436,0.41810720162478376,50.73742511152198,0.46305433333341006,100,NA,2.236,0.10000608036968646,NA,NA,NA,NA,NA
boston,2,m3b,LS-RMSPE (RMSPE opt.),LS-RMSPE-R,psvr,15.087290654783397,21.520975650572318,9.247152920271436,0.41810720162478376,50.73742511152198,0.46305433333341006,100,NA,2.236,0.10000608036968646,NA,NA,NA,NA,NA
boston,2,m4a,LS-RMSPE + Sym. Kernel (MAPE opt.),LS-RMSPE+SK-M,psvr,16.87000552782655,23.766674160197816,10.261482539345517,0.46215059666924807,57.920028031753155,0.3870420503898454,100,NA,7.071,0.010000191803678796,odd,NA,NA,NA,NA
boston,2,m4b,LS-RMSPE + Sym. Kernel (RMSPE opt.),LS-RMSPE+SK-R,psvr,16.87000552782655,23.766674160197816,10.261482539345517,0.46215059666924807,57.920028031753155,0.3870420503898454,100,NA,7.071,0.010000191803678796,odd,NA,NA,NA,NA
boston,2,b1,ε-SVR (MSE),SVR-MSE,baseline,13.367016157844134,23.84935043716124,7.8978380392517735,0.2802088065085087,25.132765063190906,0.7340241594371872,10,NA,0.266,7.0665385267680465,NA,NA,NA,NA,NA
boston,2,b2,Random Forest,RF,baseline,13.22106660820069,21.763418236393036,7.952922831655498,0.2754776929238112,16.90977825816601,0.8210466506714141,NA,NA,NA,NA,NA,6,NA,NA,NA
boston,2,b3,XGBoost,XGB,baseline,12.102265463762599,18.788203456160442,7.4081323403148245,0.24838060180677224,11.117497323222265,0.8823453890543216,NA,NA,NA,NA,NA,NA,300,0.1,3
boston,2,b4,Linear Regression,LR,baseline,17.882836672378822,28.9837238359446,10.479299872039741,0.3794534470340125,34.188537728481215,0.638188435013695,NA,NA,NA,NA,NA,NA,NA,NA,NA
boston,2,b5,WLS (1/y²),WLS,baseline,15.627156203987624,22.81074913759834,9.501108328154219,0.39374373462991075,41.306306791522225,0.5628622779150079,NA,NA,NA,NA,NA,NA,NA,NA,NA
boston,2,b6,Log-SVR,Log-SVR,baseline,11.964332393197221,20.923748116941095,7.181169078179712,0.26105787045513895,24.478571737959122,0.740947377759231,1,0.01,NA,0.224,NA,NA,NA,NA,NA
boston,2,b7a,QR (τ = 0.5),QR,baseline,17.344689452148828,29.514810934732427,10.059304316447538,0.37926353934311235,39.825660642212064,0.5785317079657284,NA,NA,NA,NA,NA,NA,NA,NA,NA
boston,3,m1,SVR-MAPE,SVR-MAPE,psvr,10.970871631989514,18.616588445410137,6.6596811624324745,0.32735316549634047,31.687091389776757,0.7538465956020393,100,0.1,7.071,0.010000191803678796,NA,NA,NA,NA,NA
boston,3,m2,SVR-MAPE + Sym. Kernel,SVR-MAPE+SK,psvr,11.588145464863004,17.810467136457287,7.137013634508683,0.3614578042812049,32.21235632095253,0.7497662037027217,10,1,2.236,0.10000608036968646,odd,NA,NA,NA,NA
