dataset,seed,model_id,label,abbrev,family,MAPE,RMSPE,MAAPE,MASE,MSE,R2,cost_selected,epsilon_selected,sigma_selected,gamma_selected,sym_type_selected,mtry_selected,xgb_trees_selected,xgb_lr_selected,xgb_depth_selected
energy_efficiency,29,m2,SVR-MAPE + Sym. Kernel,SVR-MAPE+SK,psvr,4.454084004971487,7.667286058233539,2.812473590179681,0.11188200318551282,6.757042556167565,0.9300943167775734,100,0.1,2.236,0.10000608036968646,odd,NA,NA,NA,NA
energy_efficiency,29,m3a,LS-RMSPE (MAPE opt.),LS-RMSPE-M,psvr,9.541550681668468,12.087990978444745,6.013696018012387,0.22218872942830337,11.91670814037276,0.8767144623716127,100,NA,2.236,0.10000608036968646,NA,NA,NA,NA,NA
energy_efficiency,29,m3b,LS-RMSPE (RMSPE opt.),LS-RMSPE-R,psvr,9.541550681668468,12.087990978444745,6.013696018012387,0.22218872942830337,11.91670814037276,0.8767144623716127,100,NA,2.236,0.10000608036968646,NA,NA,NA,NA,NA
energy_efficiency,29,m4a,LS-RMSPE + Sym. Kernel (MAPE opt.),LS-RMSPE+SK-M,psvr,10.987476463378023,14.103910665638757,6.8913493127652865,0.24639074962706267,14.237292873214487,0.8527066128018681,100,NA,2.236,0.10000608036968646,odd,NA,NA,NA,NA
energy_efficiency,29,m4b,LS-RMSPE + Sym. Kernel (RMSPE opt.),LS-RMSPE+SK-R,psvr,10.987476463378023,14.103910665638757,6.8913493127652865,0.24639074962706267,14.237292873214487,0.8527066128018681,100,NA,2.236,0.10000608036968646,odd,NA,NA,NA,NA
energy_efficiency,29,b1,ε-SVR (MSE),SVR-MSE,baseline,5.6870672315371245,8.330801387767371,3.5851904169897866,0.09333545130343839,1.441362005112687,0.9850882401730207,100,NA,0.266,7.0665385267680465,NA,NA,NA,NA,NA
energy_efficiency,29,b2,Random Forest,RF,baseline,1.9308148733776898,2.5930208457844115,1.2284750974022414,0.039580218032448225,0.3632822210552701,0.996241626176788,NA,NA,NA,NA,NA,4,NA,NA,NA
energy_efficiency,29,b3,XGBoost,XGB,baseline,1.1212437567226112,1.9895173387314387,0.7130158222618153,0.02166731776864904,0.12575490675025786,0.9986989895946525,NA,NA,NA,NA,NA,NA,300,0.1,6
energy_efficiency,29,b4,Linear Regression,LR,baseline,9.106463171392463,12.420406376075507,5.728026921160375,0.18948467116959983,8.705322775164065,0.909938182095045,NA,NA,NA,NA,NA,NA,NA,NA,NA
energy_efficiency,29,b5,WLS (1/y²),WLS,baseline,8.976014121629674,11.610352033210733,5.659369332043072,0.19774545843493296,9.375021479694647,0.903009744823231,NA,NA,NA,NA,NA,NA,NA,NA,NA
