dataset,seed,model_id,label,abbrev,family,MAPE,RMSPE,MAAPE,MASE,MSE,R2
electricity,1,m1,SVR-MAPE,SVR-MAPE,psvr,4.292962059960913,5.953164349156583,2.724445703214146,0.6344499395269191,139.9302849012686,0.788365899305278
electricity,2,m1,SVR-MAPE,SVR-MAPE,psvr,3.770635724711506,5.180050194581971,2.394856150126582,0.5643787940146427,111.08824010071474,0.8272374120994227
electricity,3,m1,SVR-MAPE,SVR-MAPE,psvr,3.6321776052441086,5.03729670413029,2.307038656803303,0.5499879742033544,106.69850128800822,0.823025859276471
electricity,4,m1,SVR-MAPE,SVR-MAPE,psvr,3.6147227732605294,4.973916593514722,2.2961035751469554,0.5492072731240731,102.70028058635228,0.8347234944934452
electricity,5,m1,SVR-MAPE,SVR-MAPE,psvr,3.138252803682809,4.195342895119439,1.9949849627216067,0.48357932000260323,77.04648775971177,0.8732281713311307
electricity,6,m1,SVR-MAPE,SVR-MAPE,psvr,3.1588770890786155,4.2215038637400335,2.008029924724999,0.4862419487463595,77.49096098891424,0.8653621776151336
electricity,7,m1,SVR-MAPE,SVR-MAPE,psvr,2.978189774360958,4.076853725681246,1.8931723692363596,0.4628690518160366,73.88678709053342,0.8701203295496291
electricity,8,m1,SVR-MAPE,SVR-MAPE,psvr,2.5780853392486454,3.30812646876181,1.6400548085149818,0.40656505818253114,52.923872199509,0.907970134164594
electricity,9,m1,SVR-MAPE,SVR-MAPE,psvr,2.3331674523078343,2.9853338343019185,1.4844724208397364,0.3716367682016413,45.014401239296795,0.9206601217360456
electricity,10,m1,SVR-MAPE,SVR-MAPE,psvr,2.2785219182304024,2.9387677291573535,1.4497124121924871,0.3642297875029364,43.88858069257018,0.9212897607646834
electricity,1,m2,SVR-MAPE + Sym. Kernel,SVR-MAPE+SK,psvr,4.256974021383647,6.4865866923480935,2.6978232851550685,0.6067242235132606,153.69633577960238,0.7675457759144799
